tick,mother_id,mother_energy,winner_domain,chosen_child_id,chosen_r,chosen_distress,chosen_distance,candidate_child_ids,candidate_r,candidate_distress,candidate_distance
4,504,0.9538,care,473,0.0,0.3325,7,463;467;473;477;503;505;513,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.2540;0.2620;0.3325;0.3325;0.3325;0.2075;0.0825,1;8;7;7;8;3;7
4,510,0.9538,care,469,0.0,0.2075,3,465;467;469;473;499;505;511,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1995;0.2620;0.2075;0.3325;0.2700;0.2075;0.2700,3;7;3;5;5;7;4
4,500,0.9788,care,489,0.0,0.3165,4,471;479;481;483;489;495;497;501;509,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000,0.1955;0.1330;0.2540;0.0825;0.3165;0.2700;0.0825;0.2075;0.2075,4;5;8;6;4;3;3;3;1
4,508,0.9788,care,489,0.0,0.3165,4,471;479;483;489;495;497;501;509,0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.5000,0.1955;0.1330;0.0825;0.3165;0.2700;0.0825;0.2075;0.2075,2;7;4;4;5;3;4;3
4,478,0.9288,care,503,0.0,0.3325,7,479;481;489;495;501;503;509,0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1330;0.2540;0.3165;0.2700;0.2075;0.3325;0.2075,2;1;8;4;5;7;6
4,480,0.9538,care,489,0.0,0.3165,5,471;479;481;489;495;497;501;503;509,0.0000;0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.1330;0.2540;0.3165;0.2700;0.0825;0.2075;0.3325;0.2075,8;1;4;5;3;6;2;7;3
4,494,0.9788,care,489,0.0,0.3165,2,471;479;483;489;495;497;501;509,0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000;0.0000,0.1955;0.1330;0.0825;0.3165;0.2700;0.0825;0.2075;0.2075,3;6;5;2;4;1;5;2
4,474,0.9538,care,481,0.0,0.254,5,475;479;481;487;503,0.5000;0.0000;0.0000;0.0000;0.0000,0.2620;0.1330;0.2540;0.0825;0.3325,4;8;5;4;4
4,502,0.9788,care,473,0.0,0.3325,5,463;473;489;495;497;503;505;511,0.0000;0.0000;0.0000;0.0000;0.0000;0.5000;0.0000;0.0000,0.2540;0.3325;0.3165;0.2700;0.0825;0.3325;0.2075;0.2700,3;5;7;8;8;5;4;8
4,482,0.9538,care,489,0.0,0.3165,4,471;483;489;495;497;501;509,0.0000;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000,0.1955;0.0825;0.3165;0.2700;0.0825;0.2075;0.2075,1;1;4;8;3;7;6
